iso_country,continent
UM,OC
TC,NA
CV,AF
RW,AF
ZZ,AF
KN,NA
SH,AF
HR,EU
BE,EU
SG,AS
SC,AF
SZ,AF
GU,OC
FM,OC
CW,NA
SM,EU
IT,EU
CK,OC
GI,EU
LR,AF
MH,OC
IS,EU
NG,AF
GH,AF
ZM,AF
PT,EU
BQ,NA
BI,AF
SO,AF
IE,EU
JP,AS
KG,AS
WF,OC
IO,AS
XP,AS
RE,AF
GD,NA
KM,AF
HM,OC
MA,AF
VI,NA
BD,AS
KI,OC
ET,AF
MS,NA
LC,NA
ME,EU
IQ,AS
SN,AF
TD,AF
YT,AF
JO,AS
VU,OC
VA,EU
US,NA
CM,AF
GP,NA
IL,AS
EE,EU
CY,AS
MF,NA
FK,SA
OM,AS
AZ,AS
NU,OC
CR,NA
PN,OC
AF,AS
MD,EU
VC,NA
BO,SA
CU,NA
TL,AS
AL,EU
BB,NA
KE,AF
IR,AS
FR,EU
SR,SA
SL,AF
VG,NA
BY,EU
MK,EU
KZ,AS
NZ,OC
MC,EU
CH,EU
CX,AS
KY,NA
GS,AN
SV,NA
GM,AF
BA,EU
TH,AS
LS,AF
BM,NA
GF,SA
LB,AS
MZ,AF
PY,SA
IN,AS
BJ,AF
MW,AF
KH,AS
BN,AS
ZW,AF
PA,NA
SY,AS
BS,NA
TK,OC
PL,EU
GA,AF
QA,AS
NF,OC
EH,AF
CZ,EU
AI,NA
DO,NA
AG,NA
MU,AF
HN,NA
RS,EU
TW,AS
AS,OC
SS,AF
GT,NA
AD,EU
MO,AS
DE,EU
BL,NA
NI,NA
NL,EU
LA,AS
LI,EU
GL,NA
NO,EU
HT,NA
EC,SA
GE,AS
SE,EU
GN,AF
SI,EU
PR,NA
JE,EU
AW,NA
FO,EU
FJ,OC
NC,OC
CO,SA
PE,SA
PG,OC
LT,EU
BG,EU
MV,AS
CC,AS
MN,AS
SD,AF
LU,EU
PK,AS
BF,AF
BZ,NA
YE,AS
WS,OC
DZ,AF
LV,EU
JM,NA
AT,EU
PM,NA
MX,NA
MR,AF
TR,AS
SX,NA
MP,OC
ES,EU
MG,AF
ID,AS
CD,AF
MM,AS
UY,SA
DK,EU
RO,EU
NR,OC
DJ,AF
TF,AF
ST,AF
TZ,AF
GB,EU
CI,AF
UZ,AS
LK,AS
PW,OC
AQ,AN
AR,SA
VN,AS
AO,AF
MQ,NA
CA,NA
TO,OC
CG,AF
UG,AF
UA,EU
SA,AS
HU,EU
GG,EU
TG,AF
PH,AS
HK,AS
TV,OC
TJ,AS
ER,AF
SB,OC
MT,EU
BT,AS
ZA,AF
LY,AF
GW,AF
XK,EU
NP,AS
PF,OC
CF,AF
TT,NA
NE,AF
CN,AS
ML,AF
EG,AF
SK,EU
KR,AS
DM,NA
PS,AS
FI,EU
MY,AS
AU,OC
IM,EU
AE,AS
NA,AF
KW,AS
GQ,AF
RU,EU
GY,SA
BW,AF
VE,SA
TN,AF
BR,SA
TM,AS
CL,SA
BH,AS
KP,AS
GR,EU
AM,AS
