navaid_id,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg
85052,111450,051Y,,
85058,110700,044X,,
85063,114400,091X,,
85065,109700,034X,,
85067,108200,019X,,
85070,110200,039X,55.39580000,-116.48200000
85072,108900,026X,,
85074,111250,049Y,,
85080,110600,043X,53.26810000,-114.95700000
85086,108200,019X,,
85088,111000,047X,,
85089,111800,055X,,
85107,110000,037X,,
85113,108800,025X,58.40330000,-115.94600000
85114,110000,037X,51.50170000,-112.75100000
85119,111600,053X,,
85135,111400,051X,,
85137,108400,021X,52.30860000,-112.75400000
85140,109000,027X,,
85142,111400,051X,,
85143,109400,031X,53.58000000,-116.45300000
85148,109300,030X,,
85149,109800,035X,,
85151,108800,025X,54.14310000,-113.74900000
85169,114800,095X,,
85181,113100,078X,,
85183,116700,114X,,
85184,116700,114X,57.10390000,9.99281000
85186,113300,080X,,
85187,115500,102X,,
85188,116100,108X,,
85189,116300,110X,,
85202,112500,072X,,
85203,109700,034X,,
85204,112400,071X,,
85205,108450,021Y,,
85206,116300,110X,,
85207,114500,092X,,
85210,112900,076X,,
85211,113700,084X,,
85212,114600,093X,,
85213,113300,080X,,
85217,113200,079X,,
85218,113000,077X,,
85220,115100,098X,,
85222,112100,058X,,
85227,115900,106X,,
85228,113100,078X,,
85231,117800,125X,,
85232,112000,057X,,
85234,116200,109X,,
85235,114400,091X,,
85238,115300,100X,,
85239,110200,039X,,
85240,108600,023X,,
85242,116400,111X,,
85243,114300,090X,,
85256,112100,058X,,
85257,112700,074X,,
85263,117800,125X,,
85264,114000,087X,51.87130000,-176.67400000
85265,112700,074X,,
85266,116700,114X,,
85267,117200,119X,,
85268,115400,101X,,
85269,114300,090X,,
85271,112600,073X,,
85273,112900,076X,,
85276,113100,078X,,
85282,109800,035X,,
85284,116100,108X,,
85288,114400,091X,,
85289,114900,096X,,
85291,134000,067X,,
85302,110000,037X,,
85303,115300,100X,,
85304,112000,057X,,
85306,110400,041X,,
85308,114800,095X,,
85310,113600,083X,,
85312,116700,114X,,
85313,113400,081X,,
85319,109000,027X,,
85321,109600,033X,,
85322,109300,030X,,
85324,108600,023X,,
85325,113200,079X,,
85333,111800,055X,,
85338,117100,118X,,
85341,112900,076X,,
85348,115600,103X,,
85349,117800,125X,,
85351,114800,095X,41.77010000,8.77447000
85363,113400,081X,,
85365,113450,081Y,,
85366,110200,039X,,
85367,113600,083X,,
85369,117300,120X,,
85371,112800,075X,,
85372,114400,091X,,
85375,116000,107X,,
85376,112050,057Y,,
85377,110000,037X,,
85378,113300,080X,,
85380,115800,105X,,
85394,115300,100X,,
85395,111200,049X,,
85396,116950,116Y,44.04830000,8.12761000
85397,115500,102X,28.44350000,129.58300000
85400,115200,099X,,
85402,114500,092X,,
85404,115800,105X,,
85405,113800,085X,,
85409,117900,126X,,
85413,112300,070X,,
85414,115000,097X,,
85416,112600,073X,,
85417,112200,059X,,
85420,112500,072X,,
85422,113900,086X,,
85424,113800,085X,38.26830000,-0.57006100
85427,116400,111X,,
85428,113800,085X,,
85441,114700,094X,,
85442,116100,108X,,
85443,113700,084X,,
85447,113950,086Y,,
85449,116100,108X,67.10620000,-157.85700000
85450,115100,098X,,
85452,113500,082X,,
85453,133400,061X,,
85456,115500,102X,,
85457,116300,110X,,
85461,114100,088X,36.83310000,-2.25944000
85462,113950,086Y,,
85464,116300,110X,,
85465,112700,074X,,
85481,113500,082X,,
85483,110650,043Y,,
85484,114300,090X,,
85486,114800,095X,,
85487,112200,059X,,
85488,114300,090X,,
85492,113300,080X,,
85496,112700,074X,,
85497,114900,096X,,
85498,115600,103X,,
85499,117100,118X,,
85500,115400,101X,,
85505,113500,082X,,
