id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,usage_type,power
85050,Williams_Harbour_NDB_CA,1A,Williams Harbour,NDB,373,52.55889893,-55.78219986,70,CA,LO,MEDIUM
85051,Sable_Island_NDB_CA,1B,Sable Island,NDB,277,43.93059921,-60.02289963,,CA,LO,MEDIUM
85052,Nanaimo_DME_CA,1CD,Nanaimo,DME,111450,49.05720139,-123.87200165,83,CA,LO,LOW
85053,Charlottetown_NDB_CA,1D,Charlottetown,NDB,346,52.77500153,-56.12400055,209,CA,LO,LOW
85054,Black_Tickle_NDB_CA,1E,Black Tickle,NDB,349,53.46670151,-55.78739929,,CA,LO,LOW
85055,Manta_NDB_CA,1F,Manta,NDB,363,47.63059998,-65.74469757,193,CA,LO,MEDIUM
85056,Zama_Lake_NDB_CA,1K,Zama Lake,NDB,227,59.02330017,-118.84300232,,CA,LO,MEDIUM
85057,North_Of_Sixty_NDB_CA,1S,North Of Sixty,NDB,350,60.31890106,-103.12899780,,CA,LO,LOW
85058,Lloydminster_DME_CA,1T,Lloydminster,DME,110700,53.31330109,-110.08000183,2210,CA,BOTH,LOW
85059,Masset_NDB_CA,1U,Masset,NDB,278,54.03170013,-132.12699890,25,CA,LO,MEDIUM
85060,Sandy_Bay_NDB_CA,1W,Sandy Bay,NDB,412,55.54330063,-102.27600098,1000,CA,LO,MEDIUM
85061,South_Indian_Lake_NDB_CA,2A,South Indian Lake,NDB,300,56.79389954,-98.90429688,974,CA,LO,LOW
85062,Springdale_NDB_CA,2B,Springdale,NDB,364,49.49000168,-56.18470001,250,CA,LO,MEDIUM
85063,Bathurst_DME_CA,2F,Bathurst,DME,114400,47.63140106,-65.74440002,191,CA,BOTH,LOW
85064,Lebel-sur-Quevillon_NDB_CA,2H,Lebel-sur-Quevillon,NDB,261,49.03720093,-77.02079773,,CA,BOTH,LOW
85065,Grand_Forks_NDB-DME_CA,2J,Grand Forks,NDB-DME,250,49.01750183,-118.42400360,1720,CA,LO,LOW
85066,Camrose_NDB_CA,2K,Camrose,NDB,405,53.03219986,-112.81300354,2426,CA,LO,MEDIUM
85067,Camrose_DME_CA,2K,Camrose,DME,108200,53.03279877,-112.81400299,2449,CA,LO,LOW
85068,Opapimiskan_Lake_NDB_CA,2M,Opapimiskan Lake,NDB,393,52.60309982,-90.37439728,934,CA,LO,MEDIUM
85069,Mont-Laurier_NDB_CA,2Q,Mont-Laurier,NDB,373,46.60250092,-75.47059631,,CA,LO,LOW
85070,High_Prairie_NDB-DME_CA,2S,High Prairie,NDB-DME,406,55.39559937,-116.48400116,2005,CA,BOTH,LOW
85071,Pokemouche_NDB_CA,2T,Pokemouche,NDB,329,47.71500015,-64.88580322,68,CA,LO,MEDIUM
85072,Mackenzie_Bc_NDB-DME_CA,2U,Mackenzie Bc,NDB-DME,284,55.30360031,-123.13700104,2303,CA,LO,LOW
85073,Diavik_NDB_CA,2Z,Diavik,NDB,382,64.51000214,-110.30699921,,CA,LO,LOW
85074,Diavik_DME_CA,2Z,Diavik,DME,111250,64.50830078,-110.30699921,1413,CA,LO,LOW
85076,Cumberland_House_NDB_CA,3D,Cumberland House,NDB,398,53.95719910,-102.29699707,877,CA,LO,MEDIUM
85077,Ile-A-La-Crosse_NDB_CA,3F,Ile-A-La-Crosse,NDB,384,55.48389816,-107.93099976,1394,CA,LO,MEDIUM
85078,Consort_NDB_CA,3H,Consort,NDB,276,52.02280045,-110.74600220,2499,CA,LO,MEDIUM
85079,Mobil_Sierra_NDB_CA,3I,Mobil Sierra,NDB,397,58.79830170,-121.34500122,,CA,LO,MEDIUM
85080,Drayton_Valley_Industrial_NDB-DME_CA,3M,Drayton Valley Industrial,NDB-DME,385,53.26639938,-114.95500183,2785,CA,LO,LOW
85081,Weyburn_NDB_CA,3N,Weyburn,NDB,298,49.69639969,-103.80400085,1963,CA,LO,MEDIUM
